//simulationTime;concept;value
//============================
01-03-2014 08:00:00;5021;--
01-03-2014 14:00:00;5021;--
02-03-2014 12:00:00;5021;--
03-03-2014 13:00:00;5021;++
04-03-2014 08:00:00;5021;--
05-03-2014 14:00:00;5021;++
06-03-2014 12:00:00;5021;--
07-03-2014 13:00:00;5021;--
08-03-2014 08:00:00;5021;--
09-03-2014 14:00:00;5021;--
10-03-2014 12:00:00;5021;--
11-03-2014 13:00:00;5021;--
12-03-2014 12:00:00;5021;--
13-03-2014 13:00:00;5021;--
14-03-2014 12:00:00;5021;--
15-03-2014 13:00:00;5021;--
16-03-2014 12:00:00;5021;--
17-03-2014 13:00:00;5021;--
